volume,volume_weighted_average_price,open,close,high,low,number_of_transactions
1.3565781e7,60.4947,60.59,60.4,60.79,60.07,67302
1.5322647e7,60.2625,60.11,60.27,60.59,60.08,61254
1.5033621e7,59.815,60.1,59.6,60.175,59.58,74972
1.6185005e7,59.8374,59.67,59.71,60.1,59.63,73015
2.0461843e7,58.9648,58.89,58.85,59.4,58.8,71691
1.1966138e7,59.0606,59.02,58.99,59.3,58.84,62703
1.4438435e7,59.0698,59.02,59.15,59.37,58.78,68434
1.2871839e7,58.9785,59.0,59.04,59.13,58.76,57865
1.0464459e7,59.1306,59.25,59.1,59.42,58.87,51179
1.0867373e7,59.6118,59.38,59.67,59.85,59.22,57824
1.7464397e7,59.9692,59.69,60.13,60.15,59.64,50434
1.3145959e7,60.3055,60.2,60.32,60.47,60.1,58673
8.999994e6,60.5731,60.45,60.48,60.82,60.28,51868
1.1247739e7,60.344,60.38,60.51,60.53,60.0,54327
1.0329935e7,60.3801,60.5,60.28,60.66,60.11,55365
1.1702775e7,59.9383,59.84,59.91,60.36,59.62,69977
1.5502211e7,60.7245,59.98,60.7,61.0,59.87,71874
1.3566201e7,59.7909,60.85,59.53,60.92,59.44,75088
1.7022161e7,58.9373,58.7,59.36,59.39,58.34,100633
1.4523412e7,59.5227,59.34,59.44,60.05,59.11,80400
1.6198305e7,58.5193,59.61,58.05,59.68,58.01,86905
1.4163804e7,58.2546,58.07,58.29,58.57,57.65,89292
1.046533e7,58.9855,58.53,59.13,59.19,58.42,65022
1.0506924e7,59.4646,59.2,59.44,59.67,59.06,64928
9.568895e6,59.9106,59.66,59.94,60.15,59.54,59240
8.455791e6,60.0755,59.93,60.24,60.24,59.77,47048
2.2751385e7,59.0345,60.19,58.69,60.35,58.26,127616
2.1289436e7,58.3901,58.58,58.23,58.86,58.12,103002
1.963644e7,58.5194,58.37,58.65,58.825,57.95,86991
9.382211e6,58.467,58.7,58.51,58.8124,58.28,49243
1.2776736e7,58.1222,58.76,57.91,58.76,57.81,72418
1.3823717e7,58.1519,58.13,58.22,58.58,57.76,68854
1.7029136e7,58.1077,58.09,58.09,58.36,57.94,80080
1.6435621e7,58.0615,57.91,58.2,58.25,57.8,75691
1.8962936e7,58.2428,58.17,57.99,58.69,57.98,99915
1.9650382e7,57.5143,58.04,57.12,58.395,56.86,119456
1.7120857e7,57.2847,57.38,57.14,57.87,56.9,106911
2.619456e7,56.0476,56.78,55.06,57.38,55.03,149389
4.6578116e7,53.4074,53.74,54.16,54.18,52.18,279622
3.1230291e7,56.3764,55.16,57.32,57.5421,54.88,181073
2.7961939e7,56.3708,57.21,55.7,58.05,55.22,173453
1.7967121e7,57.3328,56.61,58.12,58.25,56.11,100999
2.1519148e7,57.0506,56.87,57.16,57.52,56.49,128855
2.3132597e7,56.1867,55.29,56.87,57.21,55.095,153644
3.2443829e7,56.0144,54.37,55.83,57.575,54.01,209810
3.4844988e7,55.3469,56.07,56.52,56.89,53.92,229041
2.1546827e7,54.8108,55.36,54.83,55.53,54.185,138871
4.6403248e7,51.9031,51.95,51.2,54.0,50.75,266170
4.6486073e7,53.0239,53.0,54.17,54.37,51.4464,271273
3.6990617e7,51.5056,50.9,50.99,53.2,49.02,242023
3.4386234e7,53.6847,51.5,54.31,55.48,51.49,244235
3.8916994e7,53.9886,53.99,54.32,55.93,50.88,259440
3.354444e7,53.9376,53.76,53.62,54.92,52.775,219506
4.9394622e7,51.9024,52.72,51.8,53.04,50.71,273014
4.0078174e7,50.6187,50.61,50.31,53.27,49.13,256827
4.1031397e7,49.9803,51.96,49.99,51.96,49.18,263327
3.9170593e7,50.2064,49.36,49.94,51.91,48.84,235432
3.3233905e7,52.4168,49.59,53.54,53.9,49.51,191627
2.5801837e7,52.5807,52.15,52.77,53.84,51.54,161733
2.091376e7,54.232,53.49,54.77,55.03,52.94,131124
2.156594e7,53.966,54.07,53.73,54.54,53.55,138099
1.9121799e7,52.9495,52.5,52.92,53.45,52.161,129656
2.0557825e7,54.6983,53.56,55.25,55.5,53.09,146639
1.7825837e7,54.713,55.0,54.7,55.241,54.28,117101
2.0682444e7,56.298,55.77,56.7,56.94,54.98,116276
2.2263105e7,57.1638,57.04,56.98,57.88,56.41,133783
1.8471433e7,57.385,57.26,57.8,58.02,56.62,120617
2.0070879e7,57.5873,56.91,57.44,58.1,56.88,126997
1.3285534e7,56.8424,57.39,56.67,57.6,56.36,89198
1.7069537e7,57.7329,57.31,58.14,58.4,56.96,107100
1.8704234e7,57.1062,57.56,56.93,58.01,56.71,100018
1.8080239e7,57.4254,57.29,57.66,58.0,56.8537,112758
1.6023277e7,58.2274,58.06,58.46,58.68,57.74,90464
1.4299569e7,58.4163,58.1,58.13,58.91,57.9643,90688
1.4550898e7,57.08,57.39,56.82,58.04,56.72,98379
1.2929925e7,57.8829,57.41,57.99,58.57,57.23,85171
1.5875345e7,57.9075,58.12,57.59,58.66,57.47,97967
1.5591905e7,57.463,57.64,57.93,57.99,56.8254,90168
1.6364888e7,57.7266,57.93,57.81,58.29,57.2,98808
1.3720274e7,57.975,57.82,57.83,58.38,57.62,74732
1.8099907e7,58.1577,58.38,58.12,58.6,57.7,108140
1.781653e7,57.5229,57.83,57.45,57.96,57.21,93371
1.4294981e7,57.1222,57.76,56.83,57.79,56.53,86264
1.2021107e7,56.2052,56.85,56.24,57.03,55.8,79570
1.1146032e7,56.5715,56.0,56.51,56.94,56.0,76007
1.267237e7,56.0102,56.36,55.64,56.66,55.54,72854
1.4294847e7,55.6401,56.1,55.58,56.15,55.175,92383
1.1298461e7,56.5991,56.22,57.0,57.03,56.03,69138
1.288856e7,56.5592,56.87,56.4,56.905,56.235,75537
1.3372474e7,55.8528,56.75,55.46,56.75,55.45,84468
2.0834805e7,54.9257,55.16,54.85,55.55,54.56,135725
1.6014444e7,54.4905,54.5,54.91,54.93,53.85,110127
1.0733278e7,54.5258,54.63,54.71,54.76,54.21,67755
1.604692e7,55.6671,55.65,55.72,56.2,55.04,92643
1.874376e7,54.8538,55.43,54.38,55.55,54.315,117250
2.1653521e7,54.4184,54.54,54.26,54.895,54.05,112707
1.846301e7,54.0956,54.43,53.97,54.64,53.86,99682
2.0178417e7,54.0541,53.96,54.1,54.29,53.67,89631
2.1129364e7,54.698,54.9,54.3,55.245,54.18,112348
1.7379694e7,54.9608,54.61,55.14,55.22,54.43,103638
1.5678532e7,55.4968,55.58,55.72,55.79,55.155,97573
3.4535352e7,56.4951,55.33,57.38,57.79,54.89,126253
1.8464468e7,56.1051,56.7,55.78,56.9,55.75,110065
1.7504137e7,56.1112,55.82,56.4,56.46,55.54,83064
1.6295606e7,56.7494,56.52,56.83,56.98,56.3,94412
1.6354655e7,56.9743,56.74,57.22,57.37,56.51,85916
1.7325007e7,57.6941,57.75,57.74,58.12,57.08,107080
1.5261075e7,57.7905,57.65,58.09,58.2,57.27,86700
1.4709862e7,57.7163,57.75,57.86,58.13,57.37,90820
1.3914474e7,57.9822,57.895,58.05,58.225,57.7,87520
2.3751754e7,56.7437,57.48,56.45,57.94,56.4,153018
1.7468925e7,56.3728,56.63,56.53,56.81,55.79,124316
1.5113133e7,55.9282,55.73,56.15,56.54,55.28,105940
1.5275069e7,56.9254,56.83,56.92,57.32,56.24,100680
1.082105e7,56.7822,57.14,56.65,57.17,56.51,65545
9.16727e6,56.6616,56.5,56.89,56.96,56.37,59325
3.1352144e7,56.5042,57.35,56.16,57.47,56.0,100393
1.2544457e7,55.841,55.91,55.66,56.26,55.61,74211
2.0938059e7,55.3904,55.75,54.94,55.845,54.91,119698
2.5122497e7,53.9339,54.54,53.93,54.56,53.455,163593
1.7322616e7,54.0523,53.91,54.28,54.385,53.34,108760
3.0387912e7,53.2606,54.04,53.16,54.06,52.85,141761
1.6125455e7,54.2027,53.31,54.69,54.71,53.31,98969
1.7864446e7,54.8898,54.92,55.13,55.285,54.36,89353
1.3036968e7,54.8365,55.09,54.67,55.33,54.58,81190
1.600048e7,55.0354,55.05,54.79,55.405,54.74,85247
1.1505898e7,55.1398,55.35,55.24,55.4301,54.91,69377
1.3528292e7,55.0408,54.92,55.04,55.33,54.8,73213
1.5524529e7,55.1634,55.11,55.38,55.44,54.82,82602
1.7886354e7,54.0229,54.65,53.94,54.65,53.75,98332
1.5961107e7,54.367,53.84,54.49,54.58,53.84,74860
1.552151e7,54.4833,54.75,54.45,54.765,54.14,84192
1.5888107e7,55.2752,54.43,55.44,55.65,54.27,97653
1.4155369e7,55.3147,55.61,55.06,55.72,55.02,81317
1.3714717e7,55.4837,54.87,55.78,55.83,54.76,78040
1.4406973e7,56.274,56.0,56.3,56.595,55.89,79602
1.0800582e7,55.9105,56.28,55.87,56.28,55.655,69503
1.2825558e7,56.0652,55.84,55.84,56.5,55.795,77931
1.1478617e7,55.6651,55.84,55.75,55.945,55.37,64032
1.698687e7,55.7941,55.81,55.85,56.09,55.4,89841
1.827466e7,56.7403,56.35,56.85,57.57,56.14,112048
1.2609504e7,56.8772,57.0,56.87,57.33,56.51,78879
1.3637562e7,57.3843,57.05,57.48,57.7,56.97,79524
9.57363e6,57.4087,57.37,57.45,57.686,57.16,65517
